Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Norway,Europe,622753,11602.119,99534,1854.355,1288,1414,26.343,13,0.242,0
Lithuania,Europe,612500,21921.27,41686,1491.935,3942,7762,277.801,88,3.15,4
Slovenia,Europe,603341,28787.262,69937,3336.91,13883,6250,298.207,24,1.145,0
Sri Lanka,South-East Asia,601886,2810.811,4851,22.654,0,15299,71.446,81,0.378,0
Uruguay,Americas,580066,16698.65,79799,2297.214,11029,6303,181.448,78,2.245,19
Dominican Republic,Americas,539580,4974.046,40997,377.925,2813,4287,39.519,19,0.175,2
Myanmar,South-East Asia,534071,981.571,826,1.518,0,19310,35.49,6,0.011,0
Paraguay,Americas,532648,7467.861,35312,495.083,3970,16953,237.685,141,1.977,18
Kuwait,Eastern Mediterranean,497454,11648.419,32123,752.194,4347,2486,58.212,10,0.234,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,484979,9506.756,8651,169.58,2000,5056,99.11,37,0.725,7
Venezuela (Bolivarian Republic of),Americas,467864,1645.326,13890,48.847,2401,5402,18.997,24,0.084,3
Ethiopia,Africa,462107,401.959,4785,4.162,374,7244,6.301,97,0.084,8
Puerto Rico,Americas,442080,15452.734,29504,1031.301,3714,3696,129.192,185,6.467,23
Mongolia,Western Pacific,428368,13066.812,19135,583.688,2089,2021,61.648,8,0.244,1
Finland,Europe,426826,7724.949,26485,479.341,0,1815,32.849,3,0.054,0
Egypt,Eastern Mediterranean,410098,400.743,10022,9.793,1603,22368,21.858,220,0.215,38
Republic of Moldova,Europe,409397,10148.754,20438,506.648,2394,10522,260.835,78,1.934,9
Libya,Eastern Mediterranean,405425,5900.273,8106,117.969,2281,5921,86.17,80,1.164,14
Honduras,Americas,387515,3912.472,3438,34.711,0,10469,105.698,15,0.151,0
Armenia,Europe,352399,11892.378,4614,155.708,688,8028,270.92,8,0.27,0
Latvia,Europe,335541,17589.002,31747,1664.172,5972,4795,251.353,65,3.407,9
Bosnia and Herzegovina,Europe,333131,10153.91,16881,514.537,938,14026,427.516,253,7.711,21
Bahrain,Eastern Mediterranean,330621,19430.293,22613,1328.945,3155,1399,82.218,1,0.059,0
Qatar,Eastern Mediterranean,323345,11223.153,24103,836.604,2981,634,22.006,8,0.278,1
Oman,Eastern Mediterranean,322438,6314.11,10013,196.079,1315,4128,80.836,6,0.117,3
Kenya,Africa,320229,595.539,2595,4.826,91,5554,10.329,66,0.123,23
Singapore,Western Pacific,313772,5363.31,21923,374.73,3496,848,14.495,5,0.085,1
Zambia,Africa,301630,1640.724,5498,29.907,427,3895,21.187,35,0.19,5
Estonia,Europe,296466,22307.852,27267,2051.73,5040,2008,151.094,24,1.806,3
North Macedonia,Europe,256281,12301.212,11663,559.811,1424,8218,394.455,95,4.56,15
Nigeria,Africa,252187,122.338,1258,0.61,228,3124,1.515,21,0.01,0
Albania,Europe,248070,8620.126,15433,536.278,1658,3305,114.845,36,1.251,8
Botswana,Africa,243946,10373.499,6268,266.539,0,2544,108.18,30,1.276,0
Cyprus,Europe,239073,26922.484,13335,1501.681,1813,712,80.18,31,3.491,3
Algeria,Africa,236670,539.713,10613,24.202,2134,6495,14.812,83,0.189,14
Zimbabwe,Africa,228254,1535.727,2176,14.64,75,5294,35.619,47,0.316,2
Mozambique,Africa,222596,712.183,3515,11.246,181,2157,6.901,30,0.096,4
Uzbekistan,Europe,215063,642.57,8941,26.714,1296,1542,4.607,24,0.072,2
Montenegro,Europe,213135,33935.344,9247,1472.307,965,2507,399.164,41,6.528,2
Kyrgyzstan,Europe,195820,3001.445,5352,82.033,426,2851,43.699,18,0.276,2
Kosovo[1],Europe,181403,10102.268,15312,852.72,2957,2988,166.401,4,0.223,1
Uganda,Africa,160419,350.712,1676,3.664,0,3479,7.606,55,0.12,0
Afghanistan,Eastern Mediterranean,159682,410.195,945,2.428,134,7393,18.991,14,0.036,3
Ghana,Africa,155496,500.423,1982,6.379,605,1367,4.399,24,0.077,10
Namibia,Africa,155027,6101.251,1058,41.639,0,3902,153.567,98,3.857,0
Luxembourg,Europe,137570,21972.248,10342,1651.792,0,943,150.613,7,1.118,0
China,Western Pacific,137350,9.335,1323,0.09,286,5700,0.387,0,0,0
Réunion,Africa,133617,14924.071,31401,3507.269,0,462,51.602,27,3.016,0
Lao People's Democratic Republic,Western Pacific,129953,1786.158,5222,71.775,417,526,7.23,31,0.426,2
Rwanda,Africa,128009,988.317,2843,21.95,107,1432,11.056,24,0.185,0
El Salvador,Americas,127012,1958.187,3435,52.959,0,3855,59.434,21,0.324,4
Cambodia,Western Pacific,121026,723.885,230,1.376,26,3015,18.033,0,0,0
Jamaica,Americas,119565,4037.766,9315,314.572,838,2594,87.601,72,2.431,22
Maldives,South-East Asia,117461,21730.146,12460,2305.085,0,269,49.765,4,0.74,0
Cameroon,Africa,114113,429.871,4447,16.752,0,1867,7.033,14,0.053,0
Trinidad and Tobago,Americas,105969,7571.983,5379,384.355,0,3286,234.8,106,7.574,0
Angola,Africa,96582,293.864,2888,8.787,680,1888,5.744,25,0.076,2
Democratic Republic of the Congo,Africa,84519,94.37,1535,1.714,0,1278,1.427,0,0,0
Senegal,Africa,84295,503.436,1583,9.454,177,1925,11.497,17,0.102,2
Malawi,Africa,83823,438.177,1104,5.771,58,2523,13.189,57,0.298,4
Côte d’Ivoire,Africa,80176,303.947,1088,4.125,62,779,2.953,26,0.099,1
Martinique,Americas,77075,20538.819,11695,3116.464,0,821,218.779,16,4.264,0
Guadeloupe,Americas,73660,18409.293,0,0,0,835,208.685,0,0,0
French Guiana,Americas,72819,24380.11,5544,1856.155,0,359,120.195,11,3.683,0
Mauritius,Africa,70218,5521.29,552,43.404,0,786,61.804,0,0,0
Suriname,Americas,69741,11888.373,6298,1073.586,466,1237,210.865,25,4.262,6
Eswatini,Africa,68081,5868.222,232,19.997,20,1369,118.001,6,0.517,2
Malta,Europe,65866,12800.351,2159,419.579,273,532,103.388,26,5.053,7
Fiji,Western Pacific,60931,6796.959,1475,164.539,0,768,85.672,38,4.239,0
Iceland,Europe,58409,16040.524,10202,2801.716,1296,44,12.083,0,0,0
Mauritania,Africa,57384,1234.155,2393,51.466,212,927,19.937,19,0.409,3
Madagascar,Africa,57375,207.197,1548,5.59,0,1223,4.417,54,0.195,0
Guyana,Americas,56585,7194.057,7529,957.216,957,1130,143.665,49,6.23,8
Cabo Verde,Africa,55306,9947.355,1319,237.236,50,389,69.966,13,2.338,2
Sudan,Eastern Mediterranean,55149,125.77,2804,6.395,0,3404,7.763,14,0.032,0
Syrian Arab Republic,Eastern Mediterranean,50985,291.332,275,1.571,42,2968,16.959,21,0.12,3
French Polynesia,Western Pacific,47656,16964.985,524,186.538,0,636,226.409,0,0,0
Gabon,Africa,45909,2062.645,757,34.011,0,300,13.479,3,0.135,0
Belize,Americas,45753,11506.483,5141,1292.917,0,616,154.919,8,2.012,0
Barbados,Americas,39212,13644.889,4251,1479.252,1041,275,95.694,6,2.088,1
Burundi,Africa,37042,311.519,388,3.263,0,14,0.118,0,0,0
Papua New Guinea,Western Pacific,36480,407.733,34,0.38,0,597,6.673,1,0.011,0
Togo,Africa,36313,438.63,363,4.385,33,266,3.213,5,0.06,0
Mayotte,Africa,35966,13183.293,2209,809.706,275,187,68.545,1,0.367,0
Guinea,Africa,35857,273.034,655,4.988,0,414,3.152,8,0.061,0
Curaçao,Americas,35307,21516.457,3378,2058.589,0,210,127.976,11,6.704,0
Seychelles,Africa,35178,35769.266,2984,3034.155,390,136,138.286,10,10.168,0
Andorra,Europe,33025,42742.51,3137,4060.053,0,144,186.372,2,2.588,0
United Republic of Tanzania,Africa,32393,54.229,998,1.671,0,753,1.261,8,0.013,0
Lesotho,Africa,32049,1496.045,315,14.704,150,690,32.209,3,0.14,0
Bahamas,Americas,31915,8115.826,1661,422.384,0,726,184.618,7,1.78,0
Aruba,Americas,31835,29817.545,2141,2005.32,0,187,175.149,3,2.81,0
Mali,Africa,29678,146.552,1092,5.392,80,705,3.481,14,0.069,1
Haiti,Americas,28250,247.752,220,1.929,0,780,6.841,0,0,0
Jersey,Europe,27591,25595.569,1424,1321.014,0,96,89.057,4,3.711,0
Benin,Africa,26309,217.014,273,2.252,0,163,1.345,1,0.008,0
Somalia,Eastern Mediterranean,24322,153.034,61,0.384,0,1335,8.4,0,0,0
Congo,Africa,23485,425.6,241,4.367,105,371,6.723,0,0,0
Isle of Man,Europe,20586,24209.709,630,740.898,0,70,82.322,0,0,0
Guam,Western Pacific,20567,12186.047,2600,1540.513,0,276,163.531,2,1.185,0
Burkina Faso,Africa,20514,98.138,542,2.593,0,353,1.689,14,0.067,0
Timor-Leste,South-East Asia,19869,1507.003,6,0.455,1,122,9.253,0,0,0
Saint Lucia,Americas,19468,10601.927,2218,1207.883,283,316,172.088,2,1.089,0
Tajikistan,Europe,17578,184.301,85,0.891,26,125,1.311,0,0,0
South Sudan,Africa,16711,149.289,178,1.59,18,137,1.224,1,0.009,0
Brunei Darussalam,Western Pacific,16132,3687.491,251,57.374,48,59,13.486,0,0,0
Equatorial Guinea,Africa,15690,1118.33,371,26.444,0,179,12.759,1,0.071,0
New Caledonia,Western Pacific,15331,5369.915,1659,581.09,0,282,98.775,1,0.35,0
Djibouti,Eastern Mediterranean,15311,1549.696,411,41.599,40,189,19.13,0,0,0
New Zealand,Western Pacific,15250,316.244,500,10.369,75,52,1.078,0,0,0
United States Virgin Islands,Americas,14398,13787.886,877,839.837,97,96,91.932,5,4.788,1
Faroe Islands,Europe,14340,29346.158,4171,8535.762,518,17,34.79,2,4.093,0
Cayman Islands,Americas,13734,20897.748,1711,2603.469,0,15,22.824,1,1.522,0
Nicaragua,Americas,13646,205.991,57,0.86,0,219,3.306,1,0.015,0
Central African Republic,Africa,13509,279.703,190,3.934,0,109,2.257,1,0.021,0
Gibraltar,Europe,11810,35053.872,977,2899.884,175,100,296.815,0,0,0
San Marino,Europe,11786,34728.033,1137,3350.227,13,108,318.227,5,14.733,0
Gambia,Africa,11572,478.841,0,0,0,347,14.359,0,0,0
Grenada,Americas,11303,10045.057,1602,1423.709,113,205,182.185,2,1.777,0
Guernsey,Europe,10641,16505.863,222,344.357,0,30,46.535,0,0,0
Yemen,Eastern Mediterranean,10585,35.489,233,0.781,0,1995,6.689,5,0.017,0
Bermuda,Americas,9766,15682.559,1225,1967.145,0,112,179.853,2,3.212,0
Greenland,Europe,9485,16707.18,1939,3415.416,0,4,7.046,2,3.523,0
Eritrea,Africa,9297,262.152,387,10.912,47,93,2.622,6,0.169,2
Saint Martin,Americas,9143,23650.379,1626,4206.006,0,40,103.469,0,0,0
Sint Maarten,Americas,8965,20906.208,715,1667.366,0,77,179.563,2,4.664,0
Niger,Africa,8544,35.296,158,0.653,2,296,1.223,4,0.017,1
Dominica,Americas,8421,11697.295,464,644.525,0,49,68.064,1,1.389,0
Liechtenstein,Europe,7874,20321.573,428,1104.602,0,68,175.497,0,0,0
Comoros,Africa,7812,898.343,67,7.705,19,159,18.284,0,0,0
Sierra Leone,Africa,7590,95.149,208,2.608,28,125,1.567,2,0.025,0
Monaco,Europe,7583,19322.699,827,2107.329,132,45,114.667,1,2.548,0
Guinea-Bissau,Africa,7293,370.579,289,14.685,0,153,7.774,1,0.051,0
Liberia,Africa,7243,143.208,122,2.412,35,289,5.714,2,0.04,1
Chad,Africa,6889,41.94,331,2.015,0,185,1.126,0,0,0
Saint Vincent and the Grenadines,Americas,6615,5962.683,53,47.774,0,90,81.125,5,4.507,0
Antigua and Barbuda,Americas,5931,6056.429,610,622.9,0,122,124.58,2,2.042,0
Sao Tome and Principe,Africa,5832,2661.082,307,140.081,16,69,31.484,3,1.369,1
British Virgin Islands,Americas,5649,18682.409,394,1303.039,0,47,155.439,5,16.536,0
Bonaire,Americas,5594,26746.354,847,4049.725,0,26,124.313,1,4.781,0
Turks and Caicos Islands,Americas,5570,14386.074,545,1407.614,46,33,85.232,3,7.748,0
Saint Kitts and Nevis,Americas,5254,9877.425,372,699.353,24,28,52.639,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,4246,7377.035,300,521.222,38,22,38.223,1,1.737,0
Bhutan,South-East Asia,3811,493.904,742,96.163,162,3,0.389,0,0,0
Saint Barthélemy,Americas,3282,33201.821,330,3338.392,0,4,40.465,0,0,0
Anguilla,Americas,2187,14578.056,147,979.869,0,7,46.66,1,6.666,0
Other,Other,764,,0,,0,13,,0,,0
Palau,Western Pacific,502,2774.707,383,2116.958,119,0,0,0,0,0
Saint Pierre and Miquelon,Americas,482,8317.515,227,3917.17,15,0,0,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Solomon Islands,Western Pacific,289,42.074,264,38.434,0,0,0,0,0,0
Sint Eustatius,Americas,280,8920.038,54,1720.293,0,1,31.857,1,31.857,0
Saba,Americas,198,10243.145,18,931.195,0,0,0,0,0,0
Montserrat,Americas,155,3100.62,26,520.104,3,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,86,2469.136,1,28.711,0,0,0,0,0,0
Kiribati,Western Pacific,59,49.393,59,49.393,20,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,18,32.61,0,0,0,0,0,0,0,0
Samoa,Western Pacific,17,8.568,15,7.56,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
